Log: Subject 33
Current Time,Time (ms),Heart Rate (BPM),EDR,Event
19:32:07.4830,27614313,75,1,Experiment started
19:32:08.8791,27615712,75,3,Experiment started
19:32:15.8507,27622681,75,0,Experiment started
19:32:17.8612,27624690,75,1,Experiment started
19:32:19.4673,27626295,75,0,Experiment started
19:32:20.4829,27627311,75,1,Experiment started
19:32:23.3171,27630143,75,1,Experiment started
19:32:24.1401,27630966,75,1,Experiment started
19:32:27.5515,27634379,75,1,Button pressed: right
19:32:30.2431,27637069,75,1,Button pressed: right
19:32:39.2492,27646072,75,1,Button pressed: right
19:32:41.3756,27648196,75,1,Button pressed: right
19:32:46.9004,27653719,75,387,Button pressed: right
19:32:49.1779,27656000,75,1,Button pressed: left
19:32:53.5728,27660390,75,529,Button pressed: left
19:32:55.1329,27661948,75,529,Button pressed: left
19:33:00.7813,27667598,75,1,Button pressed: left
19:33:02.2185,27669038,75,0,Button pressed: left
19:33:05.0862,27671902,75,1,Lights out
19:33:13.9532,27680766,75,0,Lights out
19:33:15.2887,27682103,75,1,Lights out
19:33:16.8607,27683675,75,0,Lights out
19:33:17.4137,27684228,75,0,Lights out
19:33:18.4746,27685287,75,0,Lights out
19:33:20.4121,27687225,75,1,Lights out
19:33:21.5388,27688351,75,0,Lights out
19:33:22.7876,27689601,75,0,Lights out
19:33:23.8116,27690625,75,1,Lights out
19:33:24.6599,27691472,75,1,Lights out
19:33:25.5856,27692399,75,0,Lights out
19:33:26.1666,27692978,75,0,Lights out
19:33:27.3459,27694159,75,0,Lights out
19:33:28.4731,27695284,75,1,Lights out
19:33:29.2756,27696089,75,1,Lights out
19:33:29.8656,27696678,75,0,Lights out
19:33:30.6478,27697458,75,0,Lights out
19:33:31.4057,27698214,75,1,Lights out
19:33:33.7191,27700530,75,0,Lights out
19:33:34.2684,27701078,75,1,Lights out
19:33:35.2757,27702087,75,0,Lights out
19:33:35.8897,27702700,75,0,Electricity activated
19:33:39.6547,27706463,75,1,Electricity activated
19:33:40.4281,27707237,75,0,Electricity activated
19:33:41.1576,27707965,75,0,Electricity activated
19:33:41.7762,27708583,75,0,Electricity activated
19:33:42.7467,27709556,75,0,Electricity activated
19:33:44.4177,27711225,75,0,Electricity activated
19:33:45.6586,27712464,75,0,Electricity activated
19:33:46.4246,27713230,75,210,Electricity activated
19:33:47.1905,27713996,75,425,Electricity activated
19:33:49.2710,27716077,75,70,Electricity activated
19:33:50.1271,27716931,75,525,Electricity activated
19:33:50.8968,27717702,75,26,Electricity activated
19:33:56.6846,27723486,75,529,Decision time
19:33:58.9827,27725783,75,529,Decision time
19:34:01.0339,27727834,75,528,Decision time
19:34:02.0290,27728831,75,529,Decision time
19:34:02.8032,27729603,75,529,Decision time
19:34:07.1989,27733996,75,529,Group elevator death
19:34:09.2459,27736050,75,1,Group elevator death
19:34:11.0974,27737900,75,0,Group elevator death
19:34:12.9900,27739791,75,0,Group elevator death
19:34:13.6125,27740416,75,0,Group elevator death
19:34:15.6559,27742456,75,0,Group elevator death
19:34:16.3935,27743194,75,0,Group elevator death
19:34:17.8724,27744673,75,1,Group elevator death
19:34:18.4781,27745277,75,121,Group elevator death

==== RESULTS ====
Research Group: LeverControl
Time to make decision (last action - decision time): 9.425659 s
Results: killed single person with 0 flips
