Log: Subject 46
Current Time,Time (ms),Heart Rate (BPM),EDR,Event
14:40:03.5667,11084616,78,528,
14:40:04.4307,11085478,78,121,Experiment started
14:40:05.3073,11086357,78,528,Experiment started
14:40:06.1797,11087228,78,112,Experiment started
14:40:07.0148,11088064,78,103,Experiment started
14:40:07.7159,11088764,78,97,Experiment started
14:40:08.5389,11089586,78,100,Experiment started
14:40:09.6039,11090650,78,107,Experiment started
14:40:11.0866,11092133,78,116,Experiment started
14:40:11.7618,11092808,76,119,Experiment started
14:40:12.5736,11093619,76,117,Experiment started
14:40:13.3962,11094441,76,133,Experiment started
14:40:14.2897,11095337,76,92,Experiment started
14:40:15.1045,11096154,76,96,Experiment started
14:40:15.9608,11097004,76,103,Experiment started
14:40:16.8287,11097875,76,106,Experiment started
14:40:17.6808,11098727,76,106,Experiment started
14:40:18.5246,11099571,76,109,Experiment started
14:40:19.3973,11100441,76,111,Experiment started
14:40:20.2935,11101340,76,101,Experiment started
14:40:21.1830,11102226,76,113,Experiment started
14:40:22.1126,11103157,76,123,Experiment started
14:40:23.8083,11104850,76,115,Experiment started
14:40:24.7827,11105825,76,119,Button pressed: left
14:40:25.6347,11106678,76,103,Button pressed: left
14:40:26.1710,11107216,76,92,Button pressed: left
14:40:26.3638,11107406,76,89,Button pressed: left
14:40:26.5155,11107561,76,88,Button pressed: left
14:40:27.3963,11108438,76,87,Button pressed: left
14:40:28.3175,11109361,76,83,Button pressed: left
14:40:29.1612,11110205,72,85,Button pressed: left
14:40:30.0578,11111099,72,93,Button pressed: left
14:40:30.9835,11112025,72,94,Button pressed: left
14:40:31.8811,11112923,72,95,Button pressed: left
14:40:32.1303,11113172,72,97,Button pressed: left
14:40:32.7124,11113755,72,99,Button pressed: left
14:40:33.5639,11114602,72,102,Button pressed: left
14:40:34.4608,11115504,72,94,Button pressed: left
14:40:35.3546,11116394,72,91,Button pressed: left
14:40:35.8170,11116860,72,98,Button pressed: left
14:40:36.1604,11117202,72,99,Button pressed: left
14:40:37.0866,11118127,72,113,Button pressed: left
14:40:37.9710,11119011,72,103,Button pressed: left
14:40:38.5736,11119614,72,97,Button pressed: left
14:40:38.8767,11119917,72,97,Button pressed: left
14:40:39.8063,11120844,72,527,Button pressed: left
14:40:40.7111,11121748,72,225,Button pressed: left
14:40:41.0018,11122041,72,215,Button pressed: left
14:40:41.5551,11122594,72,527,Button pressed: left
14:40:42.4110,11123450,72,451,Button pressed: left
14:40:43.0173,11124056,72,528,Button pressed: left
14:40:43.9473,11124984,86,227,Button pressed: left
14:40:44.0825,11125117,86,389,Button pressed: left
14:40:44.9460,11125985,86,507,Button pressed: left
14:40:45.6876,11126723,86,527,Button pressed: left
14:40:46.5028,11127538,86,528,Button pressed: left
14:40:47.4002,11128436,86,528,Button pressed: left
14:40:48.1820,11129216,86,529,Button pressed: left
14:40:49.0826,11130119,86,48,Button pressed: left
14:40:49.5421,11130578,86,56,Button pressed: left
14:40:49.7016,11130739,86,49,Button pressed: left
14:40:49.9954,11131006,86,41,Button pressed: left
14:40:50.8160,11131850,86,48,Button pressed: left
14:40:51.6803,11132716,86,78,Button pressed: left
14:40:52.5729,11133607,86,75,Button pressed: left
14:40:54.1984,11135235,86,70,Button pressed: left
14:40:54.7971,11135831,86,144,Button pressed: left
14:40:55.1082,11136141,86,51,Button pressed: left
14:40:56.0667,11137101,86,2,Button pressed: left
14:40:56.7834,11137817,86,1,Button pressed: left
14:40:57.6801,11138716,86,1,Button pressed: left
14:40:58.3724,11139407,86,1,Button pressed: right
14:40:59.5315,11140566,77,1,Button pressed: right
14:41:00.2932,11141330,77,0,Button pressed: right
14:41:01.0715,11142105,77,1,Button pressed: right
14:41:01.8329,11142866,77,1,Button pressed: right
14:41:02.6485,11143684,77,1,Button pressed: right
14:41:03.3778,11144410,77,1,Button pressed: right
14:41:04.1675,11145201,77,1,Button pressed: right
14:41:04.9994,11146035,77,1,Button pressed: right
14:41:05.8554,11146888,77,1,Button pressed: right
14:41:06.6292,11147662,77,0,Button pressed: right
14:41:07.4649,11148498,77,1,Button pressed: right
14:41:08.3618,11149392,77,1,Button pressed: right
14:41:09.1855,11150219,77,1,Button pressed: right
14:41:10.0370,11151069,77,1,Button pressed: right
14:41:10.6799,11151712,77,1,Button pressed: right
14:41:10.9055,11151937,77,1,Button pressed: right
14:41:11.7370,11152766,77,0,Button pressed: right
14:41:12.5524,11153584,77,1,Button pressed: right
14:41:13.4444,11154478,77,1,Button pressed: right
14:41:14.3744,11155404,77,1,Lights out
14:41:15.2759,11156307,77,1,Lights out
14:41:16.1768,11157209,75,2,Lights out
14:41:17.1104,11158141,75,5,Lights out
14:41:18.0197,11159049,75,7,Lights out
14:41:18.8761,11159906,75,6,Lights out
14:41:19.7236,11160752,75,7,Lights out
14:41:20.6333,11161663,75,8,Lights out
14:41:21.5257,11162554,75,7,Lights out
14:41:22.3945,11163421,75,8,Lights out
14:41:23.2789,11164307,75,11,Lights out
14:41:24.2256,11165251,75,13,Lights out
14:41:25.1094,11166136,75,15,Lights out
14:41:25.9949,11167022,75,16,Lights out
14:41:26.9403,11167967,75,16,Lights out
14:41:27.6816,11168709,75,17,Lights out
14:41:28.7390,11169763,75,18,Lights out
14:41:29.6231,11170650,75,18,Lights out
14:41:30.5575,11171580,75,17,Lights out
14:41:31.4091,11172431,75,18,Lights out
14:41:32.1383,11173164,75,19,Lights out
14:41:33.1741,11174197,75,17,Lights out
14:41:34.0709,11175095,75,18,Lights out
14:41:34.9517,11175975,67,20,Lights out
14:41:35.8531,11176877,67,22,Lights out
14:41:36.7955,11177816,67,24,Lights out
14:41:37.6883,11178711,67,25,Lights out
14:41:38.5642,11179587,67,25,Lights out
14:41:39.4937,11180518,67,25,Lights out
14:41:40.4031,11181426,67,26,Lights out
14:41:41.2513,11182274,67,27,Lights out
14:41:42.1687,11183188,67,28,Lights out
14:41:42.9754,11183998,67,30,Lights out
14:41:43.9540,11184974,67,30,Lights out
14:41:44.7941,11185813,67,29,Lights out
14:41:45.6704,11186691,67,28,Lights out
14:41:46.5759,11187597,67,29,Lights out
14:41:47.4480,11188469,67,30,Lights out
14:41:48.3204,11189339,67,31,Lights out
14:41:49.0372,11190056,67,29,Lights out
14:41:49.2422,11190261,67,28,Lights out
14:41:50.0985,11191118,67,27,Lights out
14:41:50.9707,11191988,67,27,Electricity activated
14:41:51.8713,11192890,67,21,Electricity activated
14:41:52.7771,11193793,70,20,Electricity activated
14:41:53.6489,11194665,70,20,Electricity activated
14:41:54.5097,11195527,70,20,Electricity activated
14:41:55.4058,11196424,70,21,Electricity activated
14:41:56.2742,11197290,70,24,Electricity activated
14:41:57.1229,11198141,70,27,Electricity activated
14:41:58.0231,11199038,70,26,Electricity activated
14:41:58.9449,11199960,70,25,Electricity activated
14:41:59.8498,11200865,70,26,Electricity activated
14:42:00.7264,11201744,70,27,Electricity activated
14:42:01.6234,11202637,70,28,Electricity activated
14:42:02.5414,11203555,70,28,Electricity activated
14:42:03.4139,11204428,70,31,Electricity activated
14:42:04.2741,11205289,70,28,Electricity activated
14:42:05.1744,11206188,70,22,Electricity activated
14:42:06.0842,11207100,70,24,Electricity activated
14:42:06.9651,11207977,70,28,Electricity activated
14:42:07.8742,11208886,70,30,Electricity activated
14:42:08.7714,11209785,70,33,Electricity activated
14:42:09.6884,11210700,70,34,Electricity activated
14:42:10.5526,11211565,70,35,Electricity activated
14:42:11.4165,11212430,67,36,Electricity activated
14:42:12.3060,11213318,67,37,Electricity activated
14:42:13.2146,11214225,67,38,Electricity activated
14:42:14.1081,11215119,67,22,Electricity activated
14:42:15.0249,11216038,67,16,Electricity activated
14:42:15.9509,11216960,67,22,Electricity activated
14:42:16.8639,11217873,67,29,Electricity activated
14:42:17.7403,11218752,67,33,Electricity activated
14:42:18.6171,11219629,67,35,Electricity activated
14:42:19.4898,11220501,67,37,Electricity activated
14:42:20.3701,11221378,67,37,Electricity activated
14:42:21.2347,11222244,67,27,Decision time
14:42:22.1355,11223143,67,27,Decision time
14:42:22.9506,11223960,67,23,Decision time
14:42:23.8798,11224887,67,18,Decision time
14:42:24.8227,11225829,67,19,Decision time
14:42:25.6254,11226633,67,17,Decision time
14:42:26.5339,11227542,67,6,Decision time
14:42:27.3778,11228385,67,9,Decision time
14:42:28.2059,11229210,67,18,Decision time
14:42:28.9466,11229956,67,14,Decision time
14:42:29.7249,11230732,68,7,Decision time
14:42:30.4868,11231496,68,9,Decision time
14:42:31.1990,11232205,68,13,Decision time
14:42:31.9246,11232928,68,13,Decision time
14:42:32.6453,11233649,68,14,Decision time
14:42:33.3864,11234396,68,2,Decision time
14:42:34.1276,11235136,68,0,Decision time
14:42:34.8484,11235856,68,1,Decision time
14:42:35.4632,11236471,68,5,Decision time
14:42:36.0980,11237106,68,7,Decision time
14:42:36.7453,11237751,68,9,Decision time
14:42:37.4574,11238462,68,13,Decision time
14:42:38.1751,11239179,68,15,Decision time
14:42:38.8991,11239902,68,17,Decision time
14:42:39.5831,11240589,68,18,Decision time
14:42:40.2064,11241210,68,6,Decision time
14:42:40.8617,11241866,68,1,Decision time
14:42:41.5250,11242529,68,1,Decision time
14:42:42.1593,11243165,68,1,Decision time
14:42:42.7697,11243774,68,0,Decision time
14:42:43.4253,11244431,68,1,Decision time
14:42:44.1050,11245111,88,1,Decision time
14:42:44.8094,11245813,88,1,Decision time
14:42:45.4938,11246495,88,1,Decision time
14:42:46.1777,11247179,88,1,Decision time
14:42:46.9064,11247911,88,1,Decision time
14:42:47.6396,11248644,88,1,Decision time
14:42:48.2873,11249290,88,1,Decision time
14:42:48.9546,11249955,88,1,Decision time
14:42:49.5977,11250597,88,0,Decision time
14:42:50.2860,11251287,88,1,Decision time
14:42:50.8515,11251854,88,1,Decision time
14:42:51.4486,11252449,88,1,Decision time
14:42:52.0720,11253073,88,0,Decision time
14:42:52.7063,11253707,88,0,Decision time
14:42:53.2881,11254287,88,1,Decision time
14:42:53.8409,11254843,88,1,Decision time
14:42:54.4393,11255441,88,1,Decision time
14:42:55.0080,11256008,88,1,Decision time
14:42:55.5899,11256590,88,0,Decision time
14:42:56.1715,11257170,88,0,Decision time
14:42:56.6916,11257692,88,1,Decision time
14:42:57.2651,11258263,96,1,Group elevator death
14:42:57.8466,11258845,96,1,Group elevator death
14:42:58.4318,11259430,96,1,Group elevator death
14:42:58.9808,11259980,96,1,Group elevator death
14:42:59.5137,11260512,96,1,Group elevator death
14:43:00.0588,11261059,96,1,Group elevator death
14:43:00.6075,11261605,96,1,Group elevator death
14:43:01.1477,11262148,96,0,Group elevator death
14:43:01.6883,11262685,96,0,Group elevator death
14:43:02.2131,11263213,96,0,Group elevator death
14:43:02.7824,11263778,96,1,Group elevator death
14:43:03.1257,11264124,96,1,Group elevator death
14:43:03.2813,11264279,96,1,Group elevator death
14:43:03.8427,11264842,96,0,Group elevator death
14:43:04.3627,11265359,96,1,Group elevator death
14:43:04.9076,11265905,96,1,Group elevator death
14:43:05.4522,11266451,96,1,Group elevator death
14:43:06.0222,11267019,96,1,Group elevator death
14:43:06.5583,11267557,96,1,Group elevator death
14:43:07.0951,11268093,96,1,Group elevator death
14:43:07.7297,11268724,96,1,Group elevator death
14:43:07.9178,11268915,119,1,Group elevator death
14:43:08.1963,11269190,119,1,Group elevator death
14:43:08.7208,11269714,119,0,Group elevator death

==== RESULTS ====
Research Group: Haptic
Time to make decision (last action - decision time): 34.96988 s
Results: did not push fat man
