Log: Subject 31
Current Time,Time (ms),Heart Rate (BPM),EDR,Event
17:41:40.1157,20988658,68,1,
17:41:40.9645,20989492,68,0,Experiment started
17:41:41.7412,20990281,68,119,Experiment started
17:41:42.6869,20991227,68,528,Experiment started
17:41:43.7270,20992266,68,529,Experiment started
17:41:44.5626,20993098,68,529,Experiment started
17:41:45.3783,20993914,68,527,Experiment started
17:41:46.2919,20994827,68,529,Experiment started
17:41:47.2625,20995799,68,529,Experiment started
17:41:48.0605,20996598,68,529,Experiment started
17:41:48.9738,20997510,68,529,Experiment started
17:41:49.8955,20998433,68,528,Experiment started
17:41:50.6908,20999225,68,529,Experiment started
17:41:51.4853,21000020,68,529,Experiment started
17:41:52.4350,21000969,68,529,Experiment started
17:41:53.2789,21001812,68,528,Experiment started
17:41:54.0652,21002601,68,529,Experiment started
17:41:55.0569,21003592,69,528,Experiment started
17:41:56.0519,21004587,69,528,Experiment started
17:41:56.8668,21005403,69,529,Experiment started
17:41:57.7555,21006291,69,529,Experiment started
17:41:58.8086,21007343,69,528,Experiment started
17:41:59.6648,21008200,69,2,Experiment started
17:42:00.4832,21009019,69,71,Experiment started
17:42:01.4502,21009985,69,0,Experiment started
17:42:02.2731,21010807,69,524,Button pressed: left
17:42:03.0431,21011580,69,1,Button pressed: left
17:42:03.8832,21012414,69,504,Button pressed: left
17:42:04.8824,21013416,69,5,Button pressed: left
17:42:05.7838,21014319,69,0,Button pressed: left
17:42:06.6066,21015141,69,0,Button pressed: left
17:42:07.5447,21016078,69,0,Button pressed: left
17:42:08.4865,21017022,69,0,Button pressed: left
17:42:09.2896,21017824,69,12,Button pressed: left
17:42:10.2024,21018734,69,0,Button pressed: left
17:42:11.2107,21019745,69,0,Button pressed: left
17:42:12.0458,21020579,69,0,Button pressed: left
17:42:12.8895,21021421,69,1,Button pressed: left
17:42:13.8894,21022424,67,0,Button pressed: left
17:42:14.7779,21023309,67,523,Button pressed: left
17:42:15.5560,21024086,67,529,Button pressed: left
17:42:16.4362,21024970,67,1,Button pressed: left
17:42:17.4437,21025976,67,0,Button pressed: left
17:42:18.2556,21026784,67,476,Button pressed: left
17:42:19.0949,21027627,67,6,Button pressed: left
17:42:20.0375,21028554,67,528,Button pressed: left
