Log: Subject 41
Current Time,Time (ms),Heart Rate (BPM),EDR,Event
13:16:22.8586,6065475,70,527,
13:16:23.7630,6066381,70,120,Experiment started
13:16:24.7096,6067326,70,122,Experiment started
13:16:25.6721,6068290,70,182,Experiment started
13:16:26.5895,6069206,70,201,Experiment started
13:16:27.5150,6070130,70,187,Experiment started
13:16:28.4490,6071067,70,179,Experiment started
13:16:29.3911,6072007,70,173,Experiment started
13:16:30.4102,6073028,70,169,Experiment started
13:16:31.4673,6074083,70,164,Experiment started
13:16:32.3193,6074936,70,164,Experiment started
13:16:33.4371,6076054,70,159,Experiment started
13:16:34.3799,6076995,70,148,Experiment started
13:16:35.0353,6077650,67,142,Experiment started
13:16:35.3746,6077990,67,141,Experiment started
13:16:36.3087,6078922,67,138,Experiment started
13:16:36.9807,6079596,67,138,Experiment started
13:16:37.2836,6079898,67,139,Experiment started
13:16:38.1308,6080744,67,136,Experiment started
13:16:39.0812,6081693,67,138,Experiment started
13:16:39.3640,6081979,67,138,Experiment started
13:16:39.9782,6082592,67,137,Experiment started
13:16:40.8390,6083453,67,131,Experiment started
13:16:41.6702,6084283,67,129,Experiment started
13:16:42.6321,6085243,67,164,Experiment started
13:16:43.5171,6086131,67,192,Experiment started
13:16:44.4141,6087024,67,186,Experiment started
13:16:45.3236,6087934,67,183,Button pressed: right
13:16:45.9422,6088552,67,182,Button pressed: right
13:16:47.0808,6089692,67,178,Button pressed: right
13:16:47.9898,6090601,67,177,Button pressed: right
13:16:48.9322,6091541,67,165,Button pressed: right
13:16:49.7588,6092368,67,200,Button pressed: right
13:16:50.6844,6093295,67,149,Button pressed: right
13:16:51.5453,6094152,74,145,Button pressed: right
13:16:52.4136,6095023,74,147,Button pressed: right
13:16:53.3720,6095979,74,149,Button pressed: right
13:16:54.2687,6096878,74,150,Button pressed: right
13:16:55.1450,6097754,74,152,Button pressed: right
13:16:56.0052,6098614,74,152,Button pressed: right
13:16:56.7264,6099336,74,153,Button pressed: right
13:16:57.0003,6099609,74,237,Button pressed: right
13:16:57.7701,6100378,74,493,Button pressed: right
13:16:58.7860,6101395,74,529,Button pressed: right
13:16:59.6220,6102228,74,529,Button pressed: right
13:17:00.5069,6103111,74,528,Button pressed: left
13:17:00.7075,6103313,74,529,Button pressed: left
13:17:01.2643,6103869,74,368,Button pressed: left
13:17:01.9894,6104597,74,526,Button pressed: left
13:17:02.9192,6105526,74,231,Button pressed: left
13:17:03.7911,6106397,74,102,Button pressed: left
13:17:04.6026,6107208,74,102,Button pressed: left
13:17:05.4624,6108067,74,104,Button pressed: left
13:17:06.2613,6108868,74,105,Button pressed: left
13:17:07.2441,6109850,74,104,Button pressed: left
13:17:08.1289,6110733,76,104,Button pressed: left
13:17:09.0787,6111685,76,105,Button pressed: left
13:17:09.9471,6112552,76,107,Button pressed: left
13:17:10.4964,6113098,76,108,Button pressed: left
13:17:11.7254,6114326,76,174,Button pressed: left
13:17:12.5405,6115142,76,148,Button pressed: left
13:17:13.5844,6116188,76,171,Button pressed: left
13:17:14.1211,6116724,76,171,Button pressed: left
13:17:14.4488,6117049,76,171,Button pressed: left
13:17:15.1658,6117767,76,170,Button pressed: left
13:17:16.0006,6118604,76,169,Lights out
13:17:16.7787,6119379,76,163,Lights out
13:17:17.3851,6119987,76,157,Lights out
13:17:18.3600,6120960,76,151,Lights out
13:17:19.4165,6122019,76,148,Lights out
13:17:20.2607,6122860,76,146,Lights out
13:17:21.1492,6123751,76,143,Lights out
13:17:22.0055,6124606,76,138,Lights out
13:17:22.8205,6125422,76,138,Lights out
13:17:23.6646,6126264,76,136,Lights out
13:17:24.5165,6127114,76,139,Lights out
13:17:25.2857,6127886,74,400,Lights out
