Log: Subject 50
Current Time,Time (ms),Heart Rate (BPM),EDR,Event
15:35:01.2281,14381238,79,220,
15:35:02.0465,14382059,79,221,Experiment started
15:35:02.8336,14382842,79,221,Experiment started
15:35:03.6200,14383630,79,225,Experiment started
15:35:04.4304,14384442,79,230,Experiment started
15:35:04.7993,14384808,79,232,Experiment started
15:35:05.9421,14385954,79,214,Experiment started
15:35:06.6259,14386635,79,200,Experiment started
15:35:07.3833,14387392,79,201,Experiment started
15:35:08.1090,14388118,79,207,Experiment started
15:35:08.9439,14388955,79,214,Experiment started
15:35:09.8495,14389858,79,221,Experiment started
15:35:10.5372,14390547,79,225,Experiment started
15:35:11.3726,14391383,79,229,Experiment started
15:35:12.2001,14392208,79,232,Experiment started
15:35:12.9954,14393001,79,234,Experiment started
15:35:13.7572,14393765,79,236,Experiment started
15:35:14.5512,14394558,79,238,Experiment started
15:35:15.3292,14395337,79,227,Experiment started
15:35:16.0954,14396103,79,233,Experiment started
15:35:16.8202,14396829,76,234,Experiment started
15:35:17.5743,14397579,76,237,Experiment started
15:35:18.3641,14398371,76,229,Experiment started
15:35:19.1668,14399172,76,228,Experiment started
15:35:19.8794,14399887,76,224,Experiment started
15:35:20.6049,14400612,76,235,Experiment started
15:35:21.3622,14401367,76,231,Experiment started
15:35:22.1937,14402198,76,219,Experiment started
15:35:22.9599,14402966,76,244,Button pressed: left
15:35:23.6973,14403700,76,247,Button pressed: left
15:35:24.5166,14404521,76,249,Button pressed: left
15:35:25.3359,14405340,76,237,Button pressed: left
15:35:26.1214,14406126,76,234,Button pressed: left
15:35:26.8921,14406897,76,228,Button pressed: left
15:35:27.6908,14407693,76,234,Button pressed: left
15:35:28.4403,14408442,76,240,Button pressed: left
15:35:29.1360,14409138,76,244,Button pressed: left
15:35:29.8245,14409826,76,248,Button pressed: left
15:35:30.5737,14410578,76,249,Button pressed: left
15:35:31.3729,14411376,76,251,Button pressed: left
15:35:32.1751,14412176,76,254,Button pressed: left
15:35:32.9289,14412932,78,248,Button pressed: left
15:35:33.6209,14413622,78,249,Button pressed: left
15:35:34.3872,14414388,78,257,Button pressed: left
15:35:35.1533,14415153,78,257,Button pressed: left
15:35:35.9598,14415960,78,258,Button pressed: left
15:35:36.6932,14416695,78,259,Button pressed: right
15:35:37.4303,14417432,78,257,Button pressed: right
15:35:38.1917,14418192,78,238,Button pressed: right
15:35:38.9750,14418974,78,230,Button pressed: right
15:35:39.7034,14419704,78,230,Button pressed: right
15:35:40.4322,14420431,78,234,Button pressed: right
15:35:41.2271,14421226,78,240,Button pressed: right
15:35:42.0669,14422064,78,245,Button pressed: right
15:35:42.8654,14422863,78,247,Button pressed: right
15:35:43.5905,14423587,78,251,Button pressed: right
15:35:44.3030,14424301,78,253,Button pressed: right
15:35:45.0449,14425043,78,255,Button pressed: right
15:35:45.7817,14425778,78,258,Button pressed: right
15:35:46.5113,14426509,78,260,Button pressed: right
15:35:47.2192,14427215,78,261,Button pressed: right
15:35:47.9194,14427917,78,263,Button pressed: right
15:35:48.7308,14428729,79,265,Button pressed: right
15:35:49.3453,14429343,79,266,Button pressed: right
15:35:50.3078,14430305,79,267,Button pressed: right
15:35:50.8977,14430892,79,266,Button pressed: right
15:35:51.5612,14431556,79,263,Button pressed: right
15:35:52.2200,14432216,79,253,Button pressed: right
15:35:52.8348,14432831,79,240,Lights out
15:35:53.5925,14433589,79,231,Lights out
15:35:54.2230,14434219,79,231,Lights out
15:35:54.8457,14434838,79,233,Lights out
15:35:55.5220,14435516,79,235,Lights out
15:35:56.2296,14436222,79,230,Lights out
15:35:56.9589,14436951,79,224,Lights out
15:35:57.6473,14437641,79,225,Lights out
15:35:58.3604,14438353,79,229,Lights out
15:35:59.0971,14439091,79,233,Lights out
15:35:59.8222,14439815,79,232,Lights out
15:36:00.5224,14440517,79,233,Lights out
15:36:01.2437,14441237,79,235,Lights out
15:36:01.9188,14441913,79,238,Lights out
15:36:02.6034,14442597,79,241,Lights out
15:36:03.2586,14443250,86,243,Lights out
15:36:03.9425,14443935,86,245,Lights out
15:36:04.7047,14444697,86,248,Lights out
15:36:05.4869,14445479,86,250,Lights out
15:36:06.2283,14446219,86,253,Lights out
15:36:06.9524,14446945,86,255,Lights out
15:36:07.6364,14447628,86,257,Lights out
15:36:08.3661,14448357,86,257,Lights out
15:36:09.1547,14449139,86,256,Lights out
15:36:09.8447,14449837,86,256,Lights out
15:36:10.5244,14450512,86,258,Lights out
15:36:11.2370,14451228,86,259,Lights out
15:36:11.9827,14451971,86,262,Lights out
15:36:12.7366,14452726,86,261,Lights out
15:36:13.4531,14453441,86,262,Lights out
15:36:14.1579,14454147,86,263,Lights out
15:36:14.8705,14454859,86,265,Lights out
15:36:15.5906,14455580,86,267,Lights out
15:36:16.3056,14456289,86,267,Lights out
15:36:16.9796,14456968,86,268,Lights out
15:36:17.6875,14457673,86,269,Lights out
15:36:18.4417,14458428,82,270,Lights out
15:36:19.1587,14459146,82,267,Lights out
15:36:19.8463,14459834,82,266,Lights out
15:36:20.4933,14460478,82,267,Lights out
15:36:21.1534,14461140,82,268,Lights out
15:36:21.8205,14461808,82,269,Lights out
15:36:22.5045,14462492,82,270,Lights out
15:36:23.1679,14463155,82,271,Lights out
15:36:23.8109,14463795,82,266,Lights out
15:36:24.5073,14464492,82,264,Lights out
15:36:25.2487,14465235,82,257,Lights out
15:36:26.0025,14465988,82,252,Lights out
15:36:26.7070,14466690,82,250,Lights out
15:36:27.4118,14467396,82,250,Lights out
15:36:28.1358,14468120,82,249,Lights out
15:36:28.8324,14468814,82,238,Lights out
15:36:29.5776,14469560,82,233,Electricity activated
15:36:30.1191,14470102,82,231,Electricity activated
15:36:30.7744,14470757,82,231,Electricity activated
15:36:31.4624,14471445,82,235,Electricity activated
15:36:32.1252,14472109,82,236,Electricity activated
15:36:32.7320,14472715,88,238,Electricity activated
15:36:33.3706,14473355,88,241,Electricity activated
15:36:34.0586,14474040,88,243,Electricity activated
15:36:34.8081,14474789,88,242,Electricity activated
15:36:35.5535,14475535,88,243,Electricity activated
15:36:36.2499,14476231,88,245,Electricity activated
15:36:36.9264,14476907,88,248,Electricity activated
15:36:37.6551,14477635,88,246,Electricity activated
15:36:38.4164,14478398,88,237,Electricity activated
15:36:39.1376,14479117,88,234,Electricity activated
15:36:39.8095,14479791,88,236,Electricity activated
15:36:40.4936,14480474,88,239,Electricity activated
15:36:41.1936,14481174,88,243,Electricity activated
15:36:41.9149,14481893,88,244,Electricity activated
15:36:42.5863,14482564,88,247,Electricity activated
15:36:43.2251,14483203,88,248,Electricity activated
15:36:43.8925,14483870,88,249,Electricity activated
15:36:44.5813,14484561,88,247,Electricity activated
15:36:45.3595,14485337,88,242,Electricity activated
15:36:46.1214,14486097,88,237,Electricity activated
15:36:46.8585,14486837,88,237,Electricity activated
15:36:47.6647,14487642,83,239,Electricity activated
15:36:48.4840,14488463,83,240,Electricity activated
15:36:49.2908,14489267,83,242,Electricity activated
15:36:50.0983,14490076,83,244,Electricity activated
15:36:50.9581,14490936,83,246,Electricity activated
15:36:51.8016,14491779,83,248,Electricity activated
15:36:52.6169,14492593,83,248,Electricity activated
15:36:53.3701,14493345,83,247,Electricity activated
15:36:54.1240,14494099,83,248,Electricity activated
15:36:54.8814,14494857,83,250,Electricity activated
15:36:55.6396,14495616,83,251,Electricity activated
15:36:56.3730,14496349,83,253,Electricity activated
15:36:57.0941,14497069,83,254,Electricity activated
15:36:57.8345,14497811,83,255,Electricity activated
15:36:58.6087,14498585,83,257,Electricity activated
15:36:59.3786,14499354,83,255,Electricity activated
15:37:00.1324,14500107,83,247,Decision time
15:37:00.9072,14500880,83,241,Decision time
15:37:01.6894,14501664,83,235,Decision time
15:37:02.4464,14502421,83,232,Decision time
15:37:03.2044,14503179,83,233,Decision time
15:37:03.9338,14503908,77,231,Decision time
15:37:04.6630,14504637,77,229,Decision time
15:37:05.3798,14505351,77,231,Decision time
15:37:05.9732,14505946,77,232,Decision time
15:37:06.7723,14506744,77,227,Decision time
15:37:07.0295,14507000,77,223,Decision time
15:37:08.0091,14507979,77,203,Decision time
15:37:08.6310,14508605,77,197,Decision time
15:37:09.8191,14509792,77,191,Decision time
15:37:10.8803,14510851,77,186,Decision time
15:37:11.1793,14511148,77,184,Decision time
15:37:11.5194,14511489,77,183,Decision time
15:37:12.2072,14512177,77,185,Decision time
15:37:12.9072,14512878,77,187,Decision time
15:37:13.6041,14513573,77,181,Decision time
15:37:14.2268,14514195,77,179,Decision time
15:37:14.8982,14514866,77,183,Decision time
15:37:15.8029,14515774,77,175,Decision time
15:37:16.6140,14516584,77,175,Decision time
15:37:17.2576,14517226,77,179,Decision time
15:37:18.0604,14518029,77,186,Decision time
15:37:18.8788,14518845,84,191,Decision time
15:37:19.6699,14519635,84,192,Decision time
15:37:20.3907,14520356,84,194,Decision time
15:37:21.0913,14521060,84,198,Decision time
15:37:21.7793,14521746,84,190,Decision time
15:37:22.4543,14522422,84,182,Decision time
15:37:23.0899,14523056,84,181,Decision time
15:37:23.7364,14523704,84,184,Decision time
15:37:24.4494,14524417,84,170,Decision time
15:37:25.1744,14525139,84,166,Decision time
15:37:25.9030,14525871,84,170,Decision time
15:37:26.7426,14526709,84,179,Decision time
15:37:27.6442,14527610,84,185,Decision time
15:37:28.4761,14528441,84,190,Decision time
15:37:29.2542,14529220,84,193,Decision time
15:37:30.0652,14530027,84,183,Decision time
15:37:30.8345,14530799,84,163,Decision time
15:37:31.5225,14531485,84,161,Decision time
15:37:32.1862,14532151,84,168,Decision time
15:37:32.9561,14532922,84,173,Decision time
15:37:33.7678,14533731,84,175,Decision time
15:37:34.5165,14534479,80,180,Decision time
15:37:35.2292,14535191,80,189,Decision time
15:37:35.9669,14535927,80,193,Group elevator death
15:37:36.7086,14536669,80,193,Group elevator death
15:37:37.2935,14537257,80,188,Group elevator death
15:37:38.1544,14538116,80,171,Group elevator death
15:37:38.8376,14538802,80,169,Group elevator death
15:37:39.5510,14539510,80,169,Group elevator death
