Log: Subject 45
Current Time,Time (ms),Heart Rate (BPM),EDR,Event
14:28:54.8547,491,93,
14:28:55.5962,10416847,91,85,
14:28:56.3619,10417614,91,74,Experiment started
14:28:57.1158,10418365,91,63,Experiment started
14:28:57.8279,10419080,91,55,Experiment started
14:28:58.5777,10419826,91,49,Experiment started
14:28:59.2735,10420526,85,44,Experiment started
14:29:00.0440,10421293,85,38,Experiment started
14:29:00.7610,10422012,85,34,Experiment started
14:29:01.4650,10422715,85,33,Experiment started
14:29:02.1820,10423430,85,35,Experiment started
14:29:02.7387,10423987,85,37,Experiment started
14:29:03.5290,10424779,85,39,Experiment started
14:29:04.3692,10425617,85,41,Experiment started
14:29:04.8935,10426143,85,44,Experiment started
14:29:05.9831,10427230,85,45,Experiment started
14:29:06.5521,10427800,85,46,Experiment started
14:29:07.1416,10428391,85,46,Experiment started
14:29:07.9773,10429224,85,47,Experiment started
14:29:08.7888,10430033,85,49,Experiment started
14:29:09.5215,10430767,85,51,Experiment started
14:29:10.2874,10431533,85,52,Experiment started
14:29:11.0410,10432288,85,54,Experiment started
14:29:11.7123,10432960,85,54,Experiment started
14:29:12.4209,10433666,85,53,Experiment started
14:29:13.1712,10434418,85,51,Experiment started
14:29:13.9290,10435173,85,50,Experiment started
14:29:14.7025,10435949,81,51,Button pressed: right
14:29:15.4609,10436707,81,51,Button pressed: right
14:29:16.2591,10437505,81,51,Button pressed: right
14:29:17.0823,10438327,81,40,Button pressed: right
14:29:17.9174,10439161,81,30,Button pressed: right
14:29:18.7253,10439970,81,26,Button pressed: right
14:29:19.4748,10440719,81,24,Button pressed: right
14:29:20.2363,10441480,81,26,Button pressed: right
14:29:21.0021,10442244,81,28,Button pressed: right
14:29:21.7848,10443029,81,31,Button pressed: right
14:29:22.5753,10443820,81,25,Button pressed: right
14:29:23.3773,10444621,81,20,Button pressed: right
14:29:24.2086,10445453,81,20,Button pressed: right
14:29:25.0689,10446312,81,23,Button pressed: right
14:29:25.9043,10447147,81,27,Button pressed: right
14:29:26.7814,10448025,81,30,Button pressed: right
14:29:27.5386,10448781,81,32,Button pressed: left
14:29:28.3326,10449571,81,29,Button pressed: left
14:29:29.1156,10450355,81,23,Button pressed: left
14:29:29.9187,10451159,81,21,Button pressed: left
14:29:30.7292,10451972,81,17,Button pressed: left
14:29:31.5236,10452763,74,17,Button pressed: left
14:29:32.2860,10453526,74,19,Button pressed: left
14:29:33.0725,10454313,74,21,Button pressed: left
14:29:33.8715,10455112,74,23,Button pressed: left
14:29:34.6454,10455882,74,25,Button pressed: left
14:29:35.3946,10456635,74,27,Button pressed: left
14:29:36.1404,10457377,74,29,Button pressed: left
14:29:36.8892,10458128,74,30,Button pressed: left
14:29:37.6469,10458886,74,31,Button pressed: left
14:29:38.3802,10459617,74,28,Button pressed: left
14:29:39.1378,10460375,74,28,Button pressed: left
14:29:39.8675,10461104,74,29,Button pressed: left
14:29:40.6450,10461883,74,30,Button pressed: left
14:29:41.3093,10462547,74,25,Button pressed: left
14:29:42.0098,10463246,74,22,Button pressed: left
14:29:42.7016,10463939,74,21,Button pressed: left
14:29:43.2877,10464526,74,22,Lights out
14:29:43.8688,10465106,74,23,Lights out
14:29:44.9711,10466207,74,26,Lights out
14:29:45.7035,10466940,74,28,Lights out
14:29:46.4290,10467664,74,29,Lights out
14:29:47.1172,10468352,80,31,Lights out
14:29:47.7802,10469017,80,31,Lights out
14:29:49.0991,10470335,80,23,Lights out
14:29:50.0125,10471247,80,24,Lights out
14:29:50.4712,10471707,80,25,Lights out
14:29:50.7663,10472002,80,26,Lights out
14:29:51.3720,10472607,80,28,Lights out
14:29:52.5191,10473753,80,30,Lights out
14:29:53.0348,10474268,80,31,Lights out
14:29:53.7807,10475014,80,32,Lights out
14:29:54.5101,10475745,80,34,Lights out
14:29:55.2841,10476519,80,36,Lights out
14:29:56.0699,10477303,80,37,Lights out
14:29:56.8564,10478088,80,38,Lights out
14:29:57.5780,10478812,80,39,Lights out
14:29:58.2982,10479532,80,41,Lights out
14:29:59.0762,10480309,80,39,Lights out
14:29:59.8716,10481101,80,38,Lights out
14:30:00.6254,10481857,80,38,Lights out
14:30:01.3582,10482590,80,39,Lights out
14:30:02.1193,10483350,80,40,Lights out
14:30:02.9230,10484152,79,41,Lights out
14:30:03.7454,10484977,79,41,Lights out
14:30:04.5651,10485794,79,41,Lights out
14:30:05.2940,10486526,79,41,Lights out
14:30:06.0477,10487277,79,43,Lights out
14:30:06.8220,10488051,79,43,Lights out
14:30:07.5919,10488821,79,45,Lights out
14:30:08.4069,10489635,79,45,Lights out
14:30:09.1560,10490385,79,47,Lights out
14:30:09.8934,10491122,79,47,Lights out
14:30:10.6476,10491875,79,48,Lights out
14:30:11.4214,10492649,79,49,Lights out
14:30:12.2245,10493453,79,50,Lights out
14:30:12.9777,10494203,79,51,Lights out
14:30:13.7269,10494954,79,52,Lights out
14:30:14.5134,10495739,79,52,Lights out
14:30:15.3118,10496541,79,53,Lights out
14:30:16.1353,10497361,79,54,Lights out
14:30:16.9133,10498141,79,55,Lights out
14:30:17.6588,10498886,79,55,Lights out
14:30:18.4047,10499632,79,56,Lights out
14:30:19.1791,10500404,77,55,Lights out
14:30:19.9733,10501198,77,51,Electricity activated
14:30:20.7560,10501980,77,48,Electricity activated
14:30:21.5090,10502733,77,46,Electricity activated
14:30:22.2911,10503516,77,43,Electricity activated
14:30:23.0819,10504308,77,38,Electricity activated
14:30:23.8886,10505113,77,35,Electricity activated
14:30:24.6462,10505873,77,35,Electricity activated
14:30:25.4088,10506634,77,35,Electricity activated
14:30:26.1743,10507398,77,37,Electricity activated
14:30:26.9729,10508198,77,34,Electricity activated
14:30:27.6942,10508916,77,34,Electricity activated
14:30:28.4185,10509641,77,35,Electricity activated
14:30:29.1313,10510356,77,36,Electricity activated
14:30:29.8692,10511091,77,34,Electricity activated
14:30:30.6345,10511855,77,29,Electricity activated
14:30:31.4089,10512631,77,25,Electricity activated
14:30:32.1790,10513400,77,25,Electricity activated
14:30:32.8789,10514102,77,26,Electricity activated
14:30:33.5793,10514802,77,28,Electricity activated
14:30:34.2631,10515487,77,30,Electricity activated
14:30:34.9890,10516208,79,30,Electricity activated
14:30:35.7378,10516958,79,29,Electricity activated
14:30:36.4218,10517641,79,28,Electricity activated
14:30:37.1060,10518328,79,27,Electricity activated
14:30:37.7738,10518994,79,27,Electricity activated
14:30:38.4459,10519667,79,28,Electricity activated
14:30:39.1658,10520370,79,30,Electricity activated
14:30:39.8540,10521073,79,31,Electricity activated
14:30:40.5380,10521756,79,32,Electricity activated
14:30:41.1811,10522398,79,33,Electricity activated
14:30:41.9189,10523140,79,33,Electricity activated
14:30:42.4099,10523630,79,31,Electricity activated
14:30:43.4913,10524708,79,30,Electricity activated
14:30:43.9786,10525198,79,30,Electricity activated
14:30:44.6419,10525860,79,31,Electricity activated
14:30:45.2898,10526508,79,32,Electricity activated
14:30:45.9327,10527151,79,33,Electricity activated
14:30:46.5832,10527800,79,33,Electricity activated
14:30:47.3007,10528517,79,32,Electricity activated
14:30:47.9395,10529155,79,32,Electricity activated
14:30:48.5865,10529803,79,34,Electricity activated
14:30:49.2340,10530449,88,34,Electricity activated
14:30:49.8975,10531115,88,33,Decision time
14:30:50.5651,10531779,88,28,Decision time
14:30:51.2243,10532440,88,27,Decision time
14:30:51.9330,10533149,88,26,Decision time
14:30:53.0387,10534256,88,24,Decision time
14:30:53.6157,10534832,88,23,Decision time
14:30:54.2180,10535433,88,19,Decision time
14:30:54.8003,10536016,88,12,Decision time
14:30:55.4187,10536633,88,5,Decision time
14:30:55.7987,10537015,88,1,Decision time
14:30:56.6308,10537844,88,1,Decision time
14:30:57.1919,10538408,88,1,Decision time
14:30:57.7287,10538944,88,1,Decision time
14:30:58.2900,10539504,88,1,Decision time
14:30:58.8426,10540056,88,1,Decision time
14:30:59.3992,10540613,88,1,Decision time
14:31:00.0141,10541229,88,1,Decision time
14:31:00.5789,10541793,88,1,Decision time
14:31:01.1772,10542391,88,0,Decision time
14:31:01.7581,10542972,88,1,Decision time
14:31:02.2989,10543514,96,1,Decision time
14:31:02.9179,10544134,96,0,Decision time
14:31:03.5116,10544727,96,0,Decision time
14:31:04.1092,10545321,96,1,Decision time
14:31:04.7729,10545988,96,1,Decision time
14:31:05.4649,10546677,96,1,Decision time
14:31:05.8217,10547037,96,1,Decision time
14:31:06.7226,10547935,96,1,Decision time
14:31:07.2754,10548488,96,1,Decision time
14:31:07.4390,10548652,96,0,Decision time
14:31:08.1443,10549355,96,1,Decision time
14:31:08.9099,10550122,96,0,Decision time
14:31:09.4994,10550710,96,1,Decision time
14:31:10.2899,10551502,96,1,Decision time
14:31:10.9249,10552138,96,1,Decision time
14:31:11.6127,10552824,96,1,Decision time
14:31:12.3014,10553512,96,1,Decision time
14:31:12.9693,10554180,96,1,Group elevator death
14:31:13.6322,10554842,96,1,Group elevator death
14:31:14.2917,10555504,96,0,Group elevator death
14:31:14.9467,10556160,96,1,Group elevator death
14:31:15.6840,10556894,94,1,Group elevator death
14:31:16.3806,10557591,94,1,Group elevator death
14:31:17.0518,10558261,94,1,Group elevator death
14:31:17.6792,10558889,94,1,Group elevator death
14:31:18.3175,10559527,94,1,Group elevator death
14:31:18.9735,10560184,94,1,Group elevator death
14:31:19.6208,10560830,94,1,Group elevator death
14:31:20.2387,10561449,94,1,Group elevator death
14:31:20.8659,10562074,94,0,Group elevator death
14:31:21.5165,10562724,94,1,Group elevator death
14:31:22.1884,10563398,94,0,Group elevator death
14:31:22.8847,10564091,94,313,Group elevator death
14:31:23.7776,10564984,94,1,Group elevator death
14:31:24.2532,10565459,94,1,Group elevator death
14:31:24.8633,10566069,94,1,Group elevator death

==== RESULTS ====
Research Group: Haptic
Time to make decision (last action - decision time): 21.83823 s
Results: did not push fat man
