Log: Subject 43
Current Time,Time (ms),Heart Rate (BPM),EDR,Event
13:35:39.4838,7221736,97,1,
13:35:39.9827,7222235,97,0,
13:35:40.5191,7222772,97,1,
13:35:41.5512,7223805,97,0,Experiment started
13:35:42.6118,7224864,97,42,Experiment started
13:35:43.1605,7225412,97,34,Experiment started
13:35:43.7216,7225972,97,22,Experiment started
13:35:44.2789,7226529,96,21,Experiment started
13:35:44.8523,7227104,96,501,Experiment started
13:35:45.4377,7227687,96,527,Experiment started
13:35:45.9866,7228237,96,529,Experiment started
13:35:46.5564,7228806,96,528,Experiment started
13:35:47.0844,7229334,96,529,Experiment started
13:35:47.6214,7229869,96,528,Experiment started
13:35:48.1578,7230407,96,529,Experiment started
13:35:48.6739,7230920,96,529,Experiment started
13:35:49.1697,7231418,96,529,Experiment started
13:35:49.7102,7231956,96,528,Experiment started
13:35:50.7750,7233027,96,3,Experiment started
13:35:51.3276,7233577,96,515,Experiment started
13:35:51.8564,7234104,96,528,Experiment started
13:35:52.4705,7234718,96,529,Experiment started
13:35:52.9499,7235197,96,528,Experiment started
13:35:53.4946,7235740,96,529,Experiment started
13:35:54.0431,7236288,96,529,Experiment started
13:35:54.8333,7237081,96,528,Experiment started
13:35:55.0550,7237301,96,528,Experiment started
13:35:55.5795,7237826,96,529,Experiment started
13:35:56.6114,7238855,102,528,Experiment started
13:35:57.1441,7239388,102,528,Experiment started
13:35:57.6759,7239920,102,108,Experiment started
13:35:58.2254,7240469,102,19,Experiment started
13:35:58.7288,7240972,102,401,Experiment started
13:35:59.2078,7241452,102,45,Experiment started
13:35:59.7652,7242010,102,434,Experiment started
13:36:00.2562,7242502,102,50,Experiment started
13:36:00.7933,7243035,102,491,Experiment started
13:36:01.7757,7244021,102,528,Button pressed: right
13:36:02.2266,7244472,102,61,Button pressed: right
13:36:02.7382,7244981,102,471,Button pressed: right
13:36:03.2878,7245532,102,528,Button pressed: right
13:36:03.7261,7245968,102,529,Button pressed: right
13:36:04.2375,7246482,102,529,Button pressed: right
13:36:04.7378,7246981,102,529,Button pressed: right
13:36:05.2863,7247528,102,528,Button pressed: right
13:36:05.8023,7248044,102,528,Button pressed: right
13:36:06.4210,7248663,102,529,Button pressed: right
13:36:06.9282,7249170,102,529,Button pressed: right
13:36:07.4771,7249721,102,529,Button pressed: right
13:36:08.0301,7250273,110,529,Button pressed: right
13:36:08.5878,7250827,110,529,Button pressed: right
13:36:09.1153,7251357,110,529,Button pressed: right
13:36:09.6446,7251887,110,530,Button pressed: right
13:36:10.6636,7252905,110,528,Button pressed: right
13:36:11.1763,7253415,110,528,Button pressed: right
13:36:11.6634,7253904,110,528,Button pressed: right
13:36:12.2040,7254444,110,529,Button pressed: right
13:36:12.6590,7254898,110,520,Button pressed: right
13:36:13.1622,7255400,110,419,Button pressed: right
13:36:13.6621,7255903,110,52,Button pressed: right
13:36:14.1496,7256390,110,2,Button pressed: right
13:36:14.6248,7256866,110,4,Button pressed: right
13:36:15.1449,7257384,110,14,Button pressed: right
13:36:15.6316,7257869,110,350,Button pressed: right
13:36:16.1400,7258378,110,160,Button pressed: right
13:36:16.6316,7258870,110,26,Button pressed: right
13:36:17.6018,7259841,110,1,Button pressed: right
13:36:18.1345,7260374,110,1,Button pressed: right
13:36:18.6347,7260873,110,0,Button pressed: right
13:36:19.1542,7261396,110,0,Button pressed: right
13:36:19.6668,7261905,108,0,Button pressed: right
13:36:20.1746,7262413,108,0,Button pressed: right
13:36:20.6537,7262893,108,7,Button pressed: right
13:36:21.1575,7263393,108,12,Button pressed: right
13:36:21.6285,7263866,108,16,Button pressed: right
13:36:22.1488,7264386,108,19,Button pressed: right
13:36:23.3772,7265614,108,523,Button pressed: right
13:36:24.1351,7266370,108,50,Button pressed: right
13:36:24.6431,7266879,108,28,Button pressed: right
13:36:25.6172,7267854,108,90,Button pressed: left
13:36:26.6661,7268902,108,528,Button pressed: left
13:36:27.1863,7269422,108,529,Button pressed: left
13:36:27.6988,7269934,108,529,Button pressed: left
13:36:28.7063,7270941,108,528,Button pressed: left
13:36:29.1970,7271432,108,529,Button pressed: left
13:36:29.7130,7271949,108,529,Button pressed: left
13:36:30.2256,7272458,108,528,Button pressed: left
13:36:30.6841,7272918,108,529,Button pressed: left
13:36:31.1797,7273414,108,529,Button pressed: left
13:36:32.1387,7274372,108,530,Button pressed: left
13:36:33.0477,7275282,108,528,Button pressed: left
13:36:34.0513,7276284,86,529,Button pressed: left
13:36:34.4937,7276729,86,529,Button pressed: left
13:36:35.0302,7277265,86,530,Button pressed: left
13:36:35.5089,7277745,86,528,Button pressed: left
13:36:35.9679,7278200,86,102,Button pressed: left
13:36:36.4393,7278675,86,51,Button pressed: left
13:36:37.4707,7279706,86,528,Button pressed: left
13:36:37.9050,7280140,86,529,Button pressed: left
13:36:38.4257,7280659,86,528,Button pressed: left
13:36:38.8967,7281128,86,529,Button pressed: left
13:36:39.3795,7281613,86,529,Button pressed: left
13:36:39.8593,7282093,86,27,Button pressed: left
13:36:40.7804,7283013,86,528,Lights out
13:36:42.0586,7284292,86,1,Lights out
13:36:42.6156,7284849,86,0,Lights out
13:36:43.2539,7285488,86,0,Lights out
13:36:43.7785,7286011,86,0,Lights out
13:36:44.2745,7286503,86,146,Lights out
13:36:44.7249,7286958,86,524,Lights out
13:36:45.2612,7287490,86,529,Lights out
13:36:45.7978,7288028,86,529,Lights out
13:36:46.3674,7288597,101,528,Lights out
13:36:46.8343,7289064,101,529,Lights out
13:36:47.3464,7289575,101,529,Lights out
13:36:47.8825,7290108,101,528,Lights out
13:36:48.3700,7290601,101,81,Lights out
13:36:49.3407,7291568,101,529,Lights out
13:36:49.8070,7292038,101,529,Lights out
13:36:50.2994,7292524,101,529,Lights out
13:36:50.7737,7293000,101,529,Lights out
13:36:51.2412,7293466,101,529,Lights out
13:36:51.7280,7293957,101,529,Lights out
13:36:52.1993,7294428,101,529,Lights out
13:36:52.7074,7294934,101,528,Lights out
13:36:53.2444,7295468,101,529,Lights out
13:36:53.6940,7295919,101,529,Lights out
13:36:54.2107,7296438,101,529,Lights out
13:36:54.7017,7296930,101,12,Lights out
13:36:55.2346,7297462,101,3,Lights out
13:36:55.7178,7297947,101,1,Lights out
13:36:56.2335,7298461,101,1,Lights out
13:36:56.6964,7298923,101,0,Lights out
13:36:57.1470,7299374,116,1,Lights out
13:36:57.6383,7299865,116,1,Lights out
13:36:57.8758,7300104,116,0,Lights out
13:36:58.3885,7300616,116,0,Lights out
13:36:59.1579,7301386,116,0,Lights out
13:36:59.5433,7301769,116,378,Lights out
13:37:00.5506,7302773,116,400,Lights out
13:37:01.0464,7303270,116,482,Lights out
13:37:01.5502,7303774,116,529,Lights out
13:37:02.0297,7304255,116,9,Lights out
13:37:02.4882,7304715,116,17,Lights out
13:37:02.9918,7305218,116,55,Lights out
13:37:03.4672,7305691,116,488,Lights out
13:37:03.9504,7306174,116,528,Lights out
13:37:04.8757,7307101,116,520,Lights out
13:37:05.8424,7308066,116,284,Lights out
13:37:06.3175,7308544,116,4,Lights out
13:37:06.8377,7309063,116,1,Lights out
13:37:07.2883,7309513,116,0,Lights out
13:37:07.7720,7309997,116,1,Lights out
13:37:08.2716,7310493,116,193,Lights out
13:37:08.7747,7310996,107,508,Lights out
13:37:09.2623,7311486,107,6,Lights out
13:37:09.7496,7311976,107,1,Lights out
13:37:10.2580,7312480,107,1,Lights out
13:37:10.7571,7312980,107,1,Lights out
13:37:11.2861,7313510,107,5,Lights out
13:37:11.7860,7314007,107,16,Lights out
13:37:12.2768,7314498,107,17,Lights out
13:37:13.2231,7315444,107,19,Lights out
13:37:13.7392,7315960,107,16,Lights out
13:37:14.4729,7316694,107,16,Lights out
13:37:14.9805,7317200,107,19,Lights out
13:37:15.6852,7317904,107,21,Lights out
13:37:16.2218,7318443,107,21,Lights out
13:37:16.6795,7318899,107,23,Lights out
13:37:17.6673,7319888,107,20,Electricity activated
13:37:18.1913,7320413,107,17,Electricity activated
13:37:18.6460,7320864,107,12,Electricity activated
13:37:19.1543,7321373,107,4,Electricity activated
13:37:20.1863,7322408,107,5,Electricity activated
13:37:21.1322,7323350,107,16,Electricity activated
13:37:21.6401,7323859,96,18,Electricity activated
